Title,AgeRating,Languages
Downfall,"['German', 'Russian', 'French', 'English']",
Million Dollar Baby,"['English', 'Irish Gaelic']",
Crash,"['English', 'Persian', 'Spanish', 'Mandarin', 'Korean']",
Sin City,['English'],
Batman Begins,"['English', 'Mandarin']",
The Wages of Fear,"['French', 'English', 'Spanish', 'German', 'Italian', 'Russian']",
Nights of Cabiria,"['Italian', 'Latin']",
For a Few Dollars More,"['Italian', 'English']",
Brief Encounter,"['English', 'French']",
The Cabinet of Dr. Caligari,['German'],
Diabolique,"['French', 'English']",
Sideways,"['English', 'Armenian', 'French']",
The Lady Vanishes,"['English', 'German', 'French', 'Italian']",
Scarface,"['English', 'Spanish']",
Rosemary's Baby,['English'],
Frankenstein,"['English', 'Latin']",
The Sea Inside,"['Spanish', 'Catalan', 'Galician']",
Cinderella Man,['English'],
Star Wars: Episode III - Revenge of the Sith,['English'],
The Thing,"['English', 'Norwegian']",
The Departed,"['English', 'Cantonese']",
V for Vendetta,['English'],
The Battle of Algiers,"['Arabic', 'French', 'English']",
Pan's Labyrinth,['Spanish'],
Walk the Line,"['English', 'Russian']",
Wallace & Gromit: The Curse of the Were-Rabbit,['English'],
Out of the Past,"['English', 'American Sign Language']",
Rififi,"['French', 'Italian', 'English']",
The Prestige,['English'],
High and Low,['Japanese'],
The Lost Weekend,['English'],
La Haine,['French'],
United 93,"['English', 'Arabic', 'German']",
In Cold Blood,"['English', 'French', 'Spanish']",
Little Miss Sunshine,['English'],
The Ox-Bow Incident,"['English', 'Spanish']",
Come and See,"['Russian', 'Belarusian', 'German']",
Great Expectations,['English'],
No Country for Old Men,"['English', 'Spanish']",
The Lives of Others,['German'],
Ratatouille,"['English', 'French']",
There Will Be Blood,"['English', 'American Sign Language']",
The Bourne Ultimatum,"['English', 'French', 'Arabic', 'Russian', 'Spanish']",
Sweeney Todd: The Demon Barber of Fleet Street,"['English', 'Italian']",
Like Stars on Earth,['Hindi'],
Children of Men,"['English', 'German', 'Italian', 'Romanian', 'Spanish', 'Arabic', 'Georgian', 'Russian', 'Serbian']",
American Gangster,"['English', 'Thai', 'Spanish']",
Letters from Iwo Jima,"['Japanese', 'English']",
Juno,"['English', 'Spanish']",
Grindhouse,"['English', 'Spanish']",
3:10 to Yuma,"['English', 'Chinese']",
Umberto D.,['Italian'],
Hot Fuzz,['English'],
Hara-Kiri,['Japanese'],
Infernal Affairs,"['Cantonese', 'English', 'Thai']",
"Aguirre, the Wrath of God","['German', 'Quechua', 'Spanish']",
Atonement,"['English', 'French']",
Le Samouraï,['French'],
The Dark Knight,"['English', 'Mandarin']",
WALL·E,"['English', 'Hindi']",
Slumdog Millionaire,"['English', 'Hindi', 'French', 'German']",
The Curious Case of Benjamin Button,"['English', 'Russian', 'French']",
The Wrestler,['English'],
Into the Wild,"['English', 'Danish']",
Milk,['English'],
Gran Torino,"['English', 'Hmong']",
The Diving Bell and the Butterfly,['French'],
The Kid,['English'],
Rope,['English'],
Let the Right One In,"['Swedish', 'Spanish']",
In Bruges,['English'],
Sweet Smell of Success,"['English', 'Italian', 'Spanish']",
Safety Last!,['None'],
La Dolce Vita,"['Italian', 'English', 'French', 'German']",
Rocky,['English'],
Avatar,"['English', 'Spanish']",
Inglourious Basterds,"['English', 'German', 'French', 'Italian']",
Up,['English'],
District 9,"['English', 'Nyanja', 'Afrikaans', 'Zulu', 'Xhosa', 'Sotho']",
Star Trek,['English'],
Changeling,['English'],
500 Days of Summer,"['English', 'French', 'Swedish']",
The Nightmare Before Christmas,['English'],
Shaun of the Dead,['English'],
Casino Royale,"['English', 'Serbian', 'German', 'Italian', 'French']",
My Neighbor Totoro,['Japanese'],
Blood Diamond,"['English', 'Mende', 'Afrikaans']",
Inception,"['English', 'Japanese', 'French']",
Toy Story 3,"['English', 'Spanish']",
Black Swan,"['English', 'French', 'Italian']",
The Social Network,"['English', 'French']",
How to Train Your Dragon,['English'],
The Secret in Their Eyes,['Spanish'],
True Grit,['English'],
Mary and Max,"['English', 'Yiddish']",
Howl's Moving Castle,['Japanese'],
Kick-Ass,['English'],
Sherlock Jr.,"['None', 'English']",
Nausicaä of the Valley of the Wind,['Japanese'],
"Spring, Summer, Fall, Winter... and Spring",['Korean'],
A Separation,['Persian'],
The King's Speech,['English'],
Warrior,"['English', 'Spanish']",
Drive,"['English', 'Spanish']",
Harry Potter and the Deathly Hallows: Part 2,"['English', 'Latin']",
Hugo,['English'],
Elite Squad 2: The Enemy Within,['Portuguese'],
Ip Man,"['Chinese', 'Cantonese', 'Mandarin', 'Japanese']",
Tokyo Story,"['Japanese', 'English']",
Shutter Island,"['English', 'German']",
The Dark Knight Rises,"['English', 'Arabic']",
The Intouchables,"['French', 'English']",
The Hobbit: An Unexpected Journey,['English'],
The Avengers,"['English', 'Russian', 'Hindi']",
Life of Pi,"['English', 'Hindi', 'Japanese', 'French']",
The Artist,['English'],
Argo,"['English', 'Persian', 'German', 'Arabic']",
The Perks of Being a Wallflower,['English'],
A Fistful of Dollars,"['Italian', 'Spanish']",
3 Idiots,"['Hindi', 'English']",
Jurassic Park,"['English', 'Spanish']",
Django Unchained,"['English', 'German', 'French', 'Italian']",
Gravity,"['English', 'Greenlandic']",
The Hunt,"['Danish', 'English', 'Polish']",
Rush,"['English', 'German', 'Italian', 'French', 'Spanish']",
Rang De Basanti,['Hindi'],
The Hobbit: The Desolation of Smaug,['English'],
Incendies,"['French', 'Arabic', 'English']",
Hachi: A Dog's Tale,"['English', 'Japanese']",
Memories of Murder,"['Korean', 'English']",
Lagaan: Once Upon a Time in India,"['Hindi', 'English']",
Before Midnight,"['English', 'Greek', 'French']",
Prisoners,['English'],
The Help,['English'],
Departures,['Japanese'],
Interstellar,['English'],
Boyhood,"['English', 'Spanish']",
Gone Girl,['English'],
The Wolf of Wall Street,"['English', 'French']",
Guardians of the Galaxy,['English'],
Dil Chahta Hai,['Hindi'],
12 Years a Slave,['English'],
The Grand Budapest Hotel,"['English', 'French', 'German']",
Gangs of Wasseypur,['Hindi'],
X-Men: Days of Future Past,"['English', 'Vietnamese', 'French']",
Swades,"['Hindi', 'English']",
Star Wars: Episode VII - The Force Awakens,['English'],
Whiplash,['English'],
Inside Out,"['English', 'Portuguese']",
Mad Max: Fury Road,"['English', 'Russian']",
The Martian,"['English', 'Mandarin']",
Wild Tales,['Spanish'],
The Imitation Game,"['English', 'German']",
Creed,"['English', 'Spanish']",
