,Rank,Release Group,Worldwide,Release Year,Domestic,%,Foreign,%.1
361,72,Buddy Buddy,"$7,258,543",1981,"$7,258,543",100%,-,-
362,73,La Cage aux Folles II,"$6,950,125",1981,"$6,950,125",100%,-,-
363,74,...All the Marbles,"$6,468,195",1981,"$6,468,195",100%,-,-
364,75,Eyewitness,"$6,400,000",1981,"$6,400,000",100%,-,-
365,76,Gallipoli,"$5,732,587",1981,"$5,732,587",100%,-,-
366,77,My Bloody Valentine,"$5,672,031",1981,"$5,672,031",100%,-,-
367,78,Going Ape!,"$5,504,218",1981,"$5,504,218",100%,-,-
368,79,The Dogs of War,"$5,484,132",1981,"$5,484,132",100%,-,-
369,80,Student Bodies,"$5,165,432",1981,"$5,165,432",100%,-,-
370,81,The Watcher in the Woods,"$5,000,000",1981,"$5,000,000",100%,-,-
371,82,All Night Long,"$4,454,295",1981,"$4,454,295",100%,-,-
372,83,The Pursuit of D.B. Cooper,"$3,702,028",1981,"$3,702,028",100%,-,-
373,84,Zoot Suit,"$3,256,082",1981,"$3,256,082",100%,-,-
374,85,The Fan,"$3,082,096",1981,"$3,082,096",100%,-,-
375,86,The Last Metro,"$3,007,436",1981,"$3,007,436",100%,-,-
376,87,Gas,"$2,869,425",1981,"$2,869,425",100%,-,-
377,88,Modern Romance,"$2,863,642",1981,"$2,863,642",100%,-,-
378,89,The Hand,"$2,447,576",1981,"$2,447,576",100%,-,-
379,90,Heartbeeps,"$2,154,696",1981,"$2,154,696",100%,-,-
380,91,This Is Elvis,"$2,028,612",1981,"$2,028,612",100%,-,-
381,92,Sphinx,"$2,022,771",1981,"$2,022,771",100%,-,-
382,93,Honky Tonk Freeway,"$2,004,742",1981,"$2,004,742",100%,-,-
383,94,Raggedy Man,"$1,976,198",1981,"$1,976,198",100%,-,-
384,95,King of the Mountain,"$1,791,147",1981,"$1,791,147",100%,-,-
385,96,Cutter's Way,"$1,729,274",1981,"$1,729,274",100%,-,-
386,97,Silence of the North,"$1,622,898",1981,"$1,622,898",100%,-,-
387,98,From Mao to Mozart: Isaac Stern in China,"$1,205,934",1981,"$1,205,934",100%,-,-
388,99,Night School,"$1,169,875",1981,"$1,169,875",100%,-,-
389,100,Eyes of a Stranger,"$1,118,634",1981,"$1,118,634",100%,-,-
390,101,Herbie Goes Bananas 1981 Re-release,"$1,000,000",1981,"$1,000,000",100%,-,-
391,102,Herbie Goes to Monte Carlo 1981 Re-release,"$1,000,000",1981,"$1,000,000",100%,-,-
392,103,Sunday Lovers,"$621,931",1981,"$621,931",100%,-,-
393,104,Beyond the Reef,"$547,525",1981,"$547,525",100%,-,-
394,105,Cattle Annie and Little Britches,"$534,816",1981,"$534,816",100%,-,-
395,106,Hard Country,"$534,653",1981,"$534,653",100%,-,-
396,107,Man of Iron,"$492,035",1981,"$492,035",100%,-,-
397,108,Kelly,"$469,777",1981,"$469,777",100%,-,-
398,109,Freaky Friday 1981 Re-release,"$300,000",1981,"$300,000",100%,-,-
399,110,The Sea Wolves,"$220,181",1981,"$220,181",100%,-,-
400,111,Second-Hand Hearts,"$19,450",1981,"$19,450",100%,-,-
401,112,Glen or Glenda 1981 Re-release,"$10,158",1981,"$10,158",100%,-,-
402,113,That Obscure Object of Desire,$809,1981,-,-,$809,100%
403,114,Dissolute Wife,$785,1981,-,-,$785,100%
404,1,E.T. the Extra-Terrestrial,"$359,197,037",1982,"$359,197,037",100%,-,-
405,2,Tootsie,"$177,200,000",1982,"$177,200,000",100%,-,-
406,3,An Officer and a Gentleman,"$129,795,554",1982,"$129,795,554",100%,-,-
407,4,Rocky III,"$124,146,897",1982,"$124,146,897",100%,-,-
408,5,Porky's,"$105,492,483",1982,"$105,492,483",100%,-,-
409,6,Star Trek II: The Wrath of Khan,"$78,912,963",1982,"$78,912,963",100%,-,-
410,7,48 Hrs.,"$78,868,508",1982,"$78,868,508",100%,-,-
411,8,Poltergeist,"$76,606,280",1982,"$76,606,280",100%,-,-
412,9,The Best Little Whorehouse in Texas,"$69,701,637",1982,"$69,701,637",100%,-,-
413,10,Annie,"$57,059,003",1982,"$57,059,003",100%,-,-
414,11,The Verdict,"$53,977,250",1982,"$53,977,250",100%,-,-
415,12,Gandhi,"$52,767,889",1982,"$52,767,889",100%,-,-
416,13,First Blood,"$47,212,904",1982,"$47,212,904",100%,-,-
417,14,The Toy,"$47,118,057",1982,"$47,118,057",100%,-,-
418,15,Firefox,"$46,708,276",1982,"$46,708,276",100%,-,-
419,16,The Dark Crystal,"$40,577,001",1982,"$40,577,001",100%,-,-
420,17,Conan the Barbarian,"$39,565,475",1982,"$39,565,475",100%,-,-
421,18,The Sword and the Sorcerer,"$39,103,425",1982,"$39,103,425",100%,-,-
422,19,Best Friends,"$36,821,203",1982,"$36,821,203",100%,-,-
423,20,Richard Pryor: Live on the Sunset Strip,"$36,299,720",1982,"$36,299,720",100%,-,-
424,21,Friday the 13th Part III,"$34,581,519",1982,"$34,581,519",100%,-,-
425,22,TRON,"$33,000,000",1982,"$33,000,000",100%,-,-
426,23,Young Doctors in Love,"$30,688,860",1982,"$30,688,860",100%,-,-
427,24,Sophie's Choice,"$30,036,000",1982,"$30,036,000",100%,-,-
428,25,The World According to Garp,"$29,712,172",1982,"$29,712,172",100%,-,-
429,26,Victor/Victoria,"$28,215,453",1982,"$28,215,453",100%,-,-
430,27,Blade Runner,"$27,580,111",1982,"$27,580,111",100%,-,-
431,28,Airplane II: The Sequel,"$27,150,534",1982,"$27,150,534",100%,-,-
432,29,Fast Times at Ridgemont High,"$27,092,880",1982,"$27,092,880",100%,-,-
433,30,Some Kind of Hero,"$23,671,186",1982,"$23,671,186",100%,-,-
434,31,The Road Warrior,"$23,667,907",1982,"$23,667,907",100%,-,-
435,32,Bambi 1982 Re-release,"$23,000,000",1982,"$23,000,000",100%,-,-
436,33,Pink Floyd: The Wall,"$22,244,207",1982,"$22,244,207",100%,-,-
437,34,Indiana Jones and the Raiders of the Lost Ark 1982 Re-release,"$21,437,879",1982,"$21,437,879",100%,-,-
438,35,Things Are Tough All Over,"$21,134,374",1982,"$21,134,374",100%,-,-
439,36,Night Shift,"$21,095,638",1982,"$21,095,638",100%,-,-
440,37,Creepshow,"$21,028,755",1982,"$21,028,755",100%,-,-
441,38,Quest for Fire,"$20,959,585",1982,"$20,959,585",100%,-,-
442,39,The Man from Snowy River,"$20,659,423",1982,"$20,659,423",100%,-,-
443,40,Six Pack,"$20,225,989",1982,"$20,225,989",100%,-,-
444,41,My Favorite Year,"$20,123,620",1982,"$20,123,620",100%,-,-
445,42,The Thing,"$19,629,760",1982,"$19,629,760",100%,-,-
446,43,Deathtrap,"$19,282,134",1982,"$19,282,134",100%,-,-
447,44,Dead Men Don't Wear Plaid,"$18,196,170",1982,"$18,196,170",100%,-,-
448,45,Peter Pan 1982 Re-release,"$17,200,000",1982,"$17,200,000",100%,-,-
449,46,Zapped!,"$16,897,768",1982,"$16,897,768",100%,-,-
450,47,They Call Me Bruce,"$16,894,678",1982,"$16,894,678",100%,-,-
451,48,Death Wish II,"$16,100,000",1982,"$16,100,000",100%,-,-
452,49,Kiss Me Goodbye,"$15,782,759",1982,"$15,782,759",100%,-,-
453,50,Star Wars 1982 Re-release,"$15,476,785",1982,"$15,476,785",100%,-,-
454,51,Grease 2,"$15,171,476",1982,"$15,171,476",100%,-,-
455,52,The Secret of NIMH,"$14,665,733",1982,"$14,665,733",100%,-,-
456,53,Halloween III: Season of the Witch,"$14,400,000",1982,"$14,400,000",100%,-,-
457,54,Diner,"$14,099,953",1982,"$14,099,953",100%,-,-
458,55,The Beastmaster,"$14,056,528",1982,"$14,056,528",100%,-,-
459,56,Missing,"$14,000,000",1982,"$14,000,000",100%,-,-
460,57,Star Wars: Episode V - The Empire Strikes Back 1982 Re-release,"$13,276,241",1982,"$13,276,241",100%,-,-
461,58,Visiting Hours,"$13,258,670",1982,"$13,258,670",100%,-,-
462,59,Vice Squad,"$13,253,583",1982,"$13,253,583",100%,-,-
463,60,Author! Author!,"$13,111,101",1982,"$13,111,101",100%,-,-
464,61,Amityville II: The Possession,"$12,534,817",1982,"$12,534,817",100%,-,-
465,62,Monsignor,"$12,408,066",1982,"$12,408,066",100%,-,-
466,63,Making Love,"$11,897,978",1982,"$11,897,978",100%,-,-
467,64,The Seduction,"$11,378,339",1982,"$11,378,339",100%,-,-
468,65,The Boat,"$10,915,250",1982,"$10,915,250",100%,-,-
469,66,Silent Rage,"$10,490,791",1982,"$10,490,791",100%,-,-
470,67,Savannah Smiles,"$10,413,170",1982,"$10,413,170",100%,-,-
471,68,Class Reunion,"$10,054,150",1982,"$10,054,150",100%,-,-
472,69,Hanky Panky,"$9,823,934",1982,"$9,823,934",100%,-,-
473,70,Shoot the Moon,"$9,217,530",1982,"$9,217,530",100%,-,-
474,71,A Midsummer Night's Sex Comedy,"$9,077,269",1982,"$9,077,269",100%,-,-
475,72,Trail of the Pink Panther,"$9,056,073",1982,"$9,056,073",100%,-,-
476,73,If You Could See What I Hear,"$8,693,512",1982,"$8,693,512",100%,-,-
477,74,Night Crossing,"$8,000,000",1982,"$8,000,000",100%,-,-
478,75,The Pirate Movie,"$7,983,086",1982,"$7,983,086",100%,-,-
479,76,The Beast Within,"$7,742,572",1982,"$7,742,572",100%,-,-
480,77,Tex,"$7,400,000",1982,"$7,400,000",100%,-,-
481,78,The Missionary,"$7,241,180",1982,"$7,241,180",100%,-,-
482,79,Cat People,"$7,000,000",1982,"$7,000,000",100%,-,-
483,80,I Ought to Be in Pictures,"$6,968,359",1982,"$6,968,359",100%,-,-
484,81,The Amateur,"$6,892,098",1982,"$6,892,098",100%,-,-
485,82,Six Weeks,"$6,668,025",1982,"$6,668,025",100%,-,-
486,83,Forced Vengeance,"$6,660,333",1982,"$6,660,333",100%,-,-
487,84,The Last Unicorn,"$6,455,330",1982,"$6,455,330",100%,-,-
488,85,The Soldier,"$6,328,816",1982,"$6,328,816",100%,-,-
489,86,The Border,"$6,118,683",1982,"$6,118,683",100%,-,-
490,87,Evil Under the Sun,"$6,110,000",1982,"$6,110,000",100%,-,-
491,88,Partners,"$6,062,898",1982,"$6,062,898",100%,-,-
492,89,Still of the Night,"$5,979,947",1982,"$5,979,947",100%,-,-
493,90,The Last American Virgin,"$5,829,781",1982,"$5,829,781",100%,-,-
494,91,Megaforce,"$5,675,599",1982,"$5,675,599",100%,-,-
495,92,Personal Best,"$5,672,311",1982,"$5,672,311",100%,-,-
496,93,Paradise,"$5,588,800",1982,"$5,588,800",100%,-,-
497,94,Cannery Row,"$5,301,539",1982,"$5,301,539",100%,-,-
498,95,Venom,"$5,229,643",1982,"$5,229,643",100%,-,-
499,96,Inchon,"$5,200,986",1982,"$5,200,986",100%,-,-
500,97,Heidi's Song,"$5,124,391",1982,"$5,124,391",100%,-,-
501,98,Tempest,"$5,005,245",1982,"$5,005,245",100%,-,-
502,99,Summer Lovers,"$4,968,000",1982,"$4,968,000",100%,-,-
503,100,Honkytonk Man,"$4,484,991",1982,"$4,484,991",100%,-,-
504,101,Jekyll and Hyde... Together Again,"$3,792,188",1982,"$3,792,188",100%,-,-
505,102,Wrong Is Right,"$3,583,513",1982,"$3,583,513",100%,-,-
506,103,Fighting Back,"$3,355,948",1982,"$3,355,948",100%,-,-
507,104,Penitentiary II,"$3,178,542",1982,"$3,178,542",100%,-,-
508,105,The Challenge,"$2,977,706",1982,"$2,977,706",100%,-,-
509,106,Homework,"$2,914,328",1982,"$2,914,328",100%,-,-
510,107,Jinxed!,"$2,869,638",1982,"$2,869,638",100%,-,-
511,108,It Came from Hollywood,"$2,573,342",1982,"$2,573,342",100%,-,-
512,109,A Stranger Is Watching,"$2,519,559",1982,"$2,519,559",100%,-,-
513,110,A Little Sex,"$2,370,376",1982,"$2,370,376",100%,-,-
514,111,"Yes, Giorgio","$2,279,543",1982,"$2,279,543",100%,-,-
515,112,Barbarosa,"$1,736,123",1982,"$1,736,123",100%,-,-
516,113,"I, the Jury","$1,515,578",1982,"$1,515,578",100%,-,-
517,114,Endangered Species,"$1,474,249",1982,"$1,474,249",100%,-,-
518,115,The Sender,"$1,054,328",1982,"$1,054,328",100%,-,-
519,116,Lookin' to Get Out,"$946,461",1982,"$946,461",100%,-,-
520,117,"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean","$840,958",1982,"$840,958",100%,-,-
521,118,The House Where Evil Dwells,"$667,863",1982,"$667,863",100%,-,-
522,119,One from the Heart,"$636,796",1982,"$636,796",100%,-,-
523,120,The Weavers: Wasn't That a Time,"$524,203",1982,"$524,203",100%,-,-
524,121,Monty Python Live at the Hollywood Bowl,"$327,958",1982,"$327,958",100%,-,-
525,122,I'm Dancing as Fast as I Can,"$291,390",1982,"$291,390",100%,-,-
526,123,Split Image,"$263,635",1982,"$263,635",100%,-,-
527,124,Five Days One Summer,"$199,078",1982,"$199,078",100%,-,-
528,125,The Escape Artist,"$143,369",1982,"$143,369",100%,-,-
529,126,Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,"$78,350",1982,"$78,350",100%,-,-
530,127,Movie Madness,"$63,405",1982,"$63,405",100%,-,-
531,128,White Dog,"$46,509",1982,"$46,509",100%,-,-
532,129,Hammett,"$42,914",1982,"$42,914",100%,-,-
533,130,"Ladies and Gentlemen, the Fabulous Stains","$25,728",1982,"$25,728",100%,-,-
534,131,Love & Money,"$14,009",1982,"$14,009",100%,-,-
535,132,Parasite,"$2,270",1982,-,-,"$2,270",100%
536,1,Star Wars: Episode VI - Return of the Jedi,"$252,583,617",1983,"$252,583,617",100%,-,-
537,2,Terms of Endearment,"$108,423,489",1983,"$108,423,489",100%,-,-
538,3,Flashdance,"$92,921,203",1983,"$92,921,203",100%,-,-
539,4,Trading Places,"$90,404,800",1983,"$90,404,800",100%,-,-
540,5,WarGames,"$79,567,667",1983,"$79,567,667",100%,-,-
541,6,Octopussy,"$67,893,619",1983,"$67,893,619",100%,-,-
542,7,Sudden Impact,"$67,642,693",1983,"$67,642,693",100%,-,-
543,8,Staying Alive,"$64,892,670",1983,"$64,892,670",100%,-,-
544,9,Mr. Mom,"$64,783,827",1983,"$64,783,827",100%,-,-
545,10,Risky Business,"$63,541,777",1983,"$63,541,777",100%,-,-
546,11,National Lampoon's Vacation,"$61,399,552",1983,"$61,399,552",100%,-,-
547,12,Superman III,"$59,950,623",1983,"$59,950,623",100%,-,-
548,13,The Big Chill,"$56,342,711",1983,"$56,342,711",100%,-,-
549,14,Never Say Never Again,"$55,432,841",1983,"$55,432,841",100%,-,-
550,15,Jaws 3-D,"$45,517,055",1983,"$45,517,055",100%,-,-
551,16,Scarface,"$44,668,798",1983,"$44,668,798",100%,-,-
552,17,Blue Thunder,"$42,313,354",1983,"$42,313,354",100%,-,-
553,18,Yentl,"$40,218,899",1983,"$40,218,899",100%,-,-
554,19,Silkwood,"$35,615,609",1983,"$35,615,609",100%,-,-
555,20,Psycho II,"$34,725,000",1983,"$34,725,000",100%,-,-
556,21,Porky's II: The Next Day,"$33,759,266",1983,"$33,759,266",100%,-,-
557,22,Uncommon Valor,"$30,503,151",1983,"$30,503,151",100%,-,-
558,23,Snow White and the Seven Dwarfs 1983 Re-release,"$30,100,000",1983,"$30,100,000",100%,-,-
559,24,Never Cry Wolf,"$29,600,000",1983,"$29,600,000",100%,-,-
560,25,Twilight Zone: The Movie,"$29,450,919",1983,"$29,450,919",100%,-,-
561,26,Easy Money,"$29,309,766",1983,"$29,309,766",100%,-,-
562,27,High Road to China,"$28,445,927",1983,"$28,445,927",100%,-,-
563,28,The Outsiders,"$25,697,647",1983,"$25,697,647",100%,-,-
564,29,Spring Break,"$24,071,666",1983,"$24,071,666",100%,-,-
565,30,Two of a Kind,"$23,646,952",1983,"$23,646,952",100%,-,-
566,31,My Tutor,"$22,587,834",1983,"$22,587,834",100%,-,-
567,32,Class,"$21,667,789",1983,"$21,667,789",100%,-,-
568,33,The Right Stuff,"$21,192,102",1983,"$21,192,102",100%,-,-
569,34,Cujo,"$21,156,152",1983,"$21,156,152",100%,-,-
570,35,Christine,"$21,017,849",1983,"$21,017,849",100%,-,-
571,36,The Rescuers 1983 Re-release,"$21,000,000",1983,"$21,000,000",100%,-,-
572,37,The Dead Zone,"$20,766,616",1983,"$20,766,616",100%,-,-
573,38,Breathless,"$19,910,002",1983,"$19,910,002",100%,-,-
574,39,A Christmas Story,"$19,294,144",1983,"$19,294,144",100%,-,-
575,40,Max Dugan Returns,"$17,613,720",1983,"$17,613,720",100%,-,-
576,41,Valley Girl,"$17,343,596",1983,"$17,343,596",100%,-,-
577,42,All the Right Moves,"$17,233,166",1983,"$17,233,166",100%,-,-
578,43,Krull,"$16,519,460",1983,"$16,519,460",100%,-,-
579,44,Spacehunter: Adventures in the Forbidden Zone,"$16,478,265",1983,"$16,478,265",100%,-,-
580,45,Richard Pryor... Here and Now,"$16,156,776",1983,"$16,156,776",100%,-,-
581,46,D.C. Cab,"$16,134,627",1983,"$16,134,627",100%,-,-
582,47,Gorky Park,"$15,856,028",1983,"$15,856,028",100%,-,-
583,48,Still Smokin,"$15,543,710",1983,"$15,543,710",100%,-,-
584,49,The Meaning of Life,"$14,929,552",1983,"$14,929,552",100%,-,-
585,50,Educating Rita,"$14,648,076",1983,"$14,648,076",100%,-,-
586,51,Private School,"$14,049,540",1983,"$14,049,540",100%,-,-
587,52,The Survivors,"$14,000,000",1983,"$14,000,000",100%,-,-
588,53,The Entity,"$13,277,558",1983,"$13,277,558",100%,-,-
589,54,Revenge of the Ninja,"$13,168,027",1983,"$13,168,027",100%,-,-
590,55,To Be or Not to Be,"$13,030,214",1983,"$13,030,214",100%,-,-
591,56,Stroker Ace,"$13,000,000",1983,"$13,000,000",100%,-,-
592,57,Lone Wolf McQuade,"$12,232,628",1983,"$12,232,628",100%,-,-
593,58,The Black Stallion Returns,"$12,049,108",1983,"$12,049,108",100%,-,-
594,59,The Sword in the Stone,"$12,000,000",1983,"$12,000,000",100%,-,-
595,60,Deathstalker,"$11,919,250",1983,"$11,919,250",100%,-,-
596,61,Zelig,"$11,798,616",1983,"$11,798,616",100%,-,-
597,62,The Lords of Discipline,"$11,787,127",1983,"$11,787,127",100%,-,-
598,63,Indiana Jones and the Raiders of the Lost Ark 1983 Re-release,"$11,374,454",1983,"$11,374,454",100%,-,-
599,64,The Smurfs and the Magic Flute,"$11,234,220",1983,"$11,234,220",100%,-,-
600,65,The Man Who Loved Women,"$10,964,231",1983,"$10,964,231",100%,-,-
601,66,Hercules,"$10,676,194",1983,"$10,676,194",100%,-,-
602,67,The House on Sorority Row,"$10,604,986",1983,"$10,604,986",100%,-,-
603,68,Doctor Detroit,"$10,375,893",1983,"$10,375,893",100%,-,-
604,69,Deal of the Century,"$10,369,581",1983,"$10,369,581",100%,-,-
605,70,The Man with Two Brains,"$10,353,438",1983,"$10,353,438",100%,-,-
606,71,The Year of Living Dangerously,"$10,278,575",1983,"$10,278,575",100%,-,-
607,72,Brainstorm,"$10,219,460",1983,"$10,219,460",100%,-,-
608,73,Lovesick,"$10,171,304",1983,"$10,171,304",100%,-,-
609,74,Without a Trace,"$9,632,062",1983,"$9,632,062",100%,-,-
610,75,Bad Boys,"$9,190,819",1983,"$9,190,819",100%,-,-
611,76,Rear Window 1983 Re-release,"$9,084,873",1983,"$9,084,420",100%,$453,<0.1%
612,77,Strange Brew,"$8,571,374",1983,"$8,571,374",100%,-,-
613,78,Tender Mercies,"$8,443,124",1983,"$8,443,124",100%,-,-
614,79,Something Wicked This Way Comes,"$8,400,000",1983,"$8,400,000",100%,-,-
615,80,10 to Midnight,"$7,175,592",1983,"$7,175,592",100%,-,-
616,81,Romantic Comedy,"$6,857,733",1983,"$6,857,733",100%,-,-
617,82,Fanny and Alexander,"$6,783,304",1983,"$6,783,304",100%,-,-
618,83,Nightmares,"$6,670,680",1983,"$6,670,680",100%,-,-
619,84,The Golden Seal,"$6,666,725",1983,"$6,666,725",100%,-,-
620,85,The Osterman Weekend,"$6,486,797",1983,"$6,486,797",100%,-,-
621,86,Star 80,"$6,472,990",1983,"$6,472,990",100%,-,-
622,87,The Sting II,"$6,347,072",1983,"$6,347,072",100%,-,-
623,88,Amityville 3-D,"$6,333,135",1983,"$6,333,135",100%,-,-
624,89,Chained Heat,"$6,149,983",1983,"$6,149,983",100%,-,-
625,90,Beyond the Limit,"$5,997,566",1983,"$5,997,566",100%,-,-
626,91,The Hunger,"$5,979,292",1983,"$5,979,292",100%,-,-
627,92,Local Hero,"$5,895,761",1983,"$5,895,761",100%,-,-
628,93,Porky's 1983 Re-release,"$5,797,190",1983,"$5,797,190",100%,-,-
629,94,Under Fire,"$5,696,391",1983,"$5,696,391",100%,-,-
630,95,Smokey and the Bandit Part 3,"$5,678,950",1983,"$5,678,950",100%,-,-
631,96,A Night in Heaven,"$5,563,663",1983,"$5,563,663",100%,-,-
632,97,The Star Chamber,"$5,555,305",1983,"$5,555,305",100%,-,-
633,98,The Grey Fox,"$5,516,140",1983,"$5,516,140",100%,-,-
634,99,Vertigo 1983 Re-release,"$5,343,461",1983,"$5,343,461",100%,-,-
635,100,The Dresser,"$5,310,748",1983,"$5,310,748",100%,-,-
636,101,Metalstorm: The Destruction of Jared-Syn,"$5,301,085",1983,"$5,301,085",100%,-,-
637,102,Vigilante,"$5,091,888",1983,"$5,091,888",100%,-,-
638,103,Eddie and the Cruisers,"$4,786,789",1983,"$4,786,789",100%,-,-
639,104,Curse of the Pink Panther,"$4,491,986",1983,"$4,491,986",100%,-,-
640,105,Mortuary,"$4,319,001",1983,"$4,319,001",100%,-,-
641,106,Trenchcoat,"$4,304,286",1983,"$4,304,286",100%,-,-
642,107,Yellowbeard,"$4,300,000",1983,"$4,300,000",100%,-,-
643,108,The Keep,"$4,218,594",1983,"$4,218,594",100%,-,-
644,109,Joysticks,"$3,952,448",1983,"$3,952,448",100%,-,-
645,110,Let's Spend the Night Together,"$3,821,199",1983,"$3,821,199",100%,-,-
646,111,La traviata,"$3,783,329",1983,"$3,783,329",100%,-,-
647,112,The Return of Martin Guerre,"$3,704,433",1983,"$3,704,433",100%,-,-
648,113,Running Brave,"$3,000,000",1983,"$3,000,000",100%,-,-
649,114,Yor: The Hunter from the Future,"$2,810,199",1983,"$2,810,199",100%,-,-
650,115,The Final Option,"$2,666,873",1983,"$2,666,873",100%,-,-
651,116,The Evil Dead,"$2,661,944",1983,"$2,400,000",90.2%,"$261,944",9.8%
652,117,The King of Comedy,"$2,536,242",1983,"$2,536,242",100%,-,-
653,118,Rumble Fish,"$2,494,480",1983,"$2,494,480",100%,-,-
654,119,The Man Who Wasn't There,"$2,443,487",1983,"$2,443,487",100%,-,-
655,120,Table for Five,"$2,439,705",1983,"$2,439,705",100%,-,-
656,121,Tough Enough,"$2,433,722",1983,"$2,433,722",100%,-,-
657,122,"Man, Woman and Child","$2,314,561",1983,"$2,314,561",100%,-,-
658,123,Merry Christmas Mr. Lawrence,"$2,306,560",1983,"$2,306,560",100%,-,-
659,124,The Draughtsman's Contract,"$2,256,246",1983,"$2,256,246",100%,-,-
660,125,The Night of the Shooting Stars,"$2,251,121",1983,"$2,251,121",100%,-,-
661,126,Videodrome,"$2,120,439",1983,"$2,120,439",100%,-,-
662,127,Friday the 13th Part III 1983 Re-release,"$2,108,548",1983,"$2,108,548",100%,-,-
663,128,Screwballs,"$2,082,215",1983,"$2,082,215",100%,-,-
664,129,Testament,"$2,044,892",1983,"$2,044,892",100%,-,-
665,130,Pieces,"$2,032,311",1983,"$2,032,311",100%,-,-
666,131,Savage Islands,"$1,963,756",1983,"$1,963,756",100%,-,-
667,132,Baby It's You,"$1,867,792",1983,"$1,867,792",100%,-,-
668,133,Heat and Dust,"$1,741,435",1983,"$1,741,435",100%,-,-
669,134,Koyaanisqatsi,"$1,723,872",1983,"$1,723,872",100%,-,-
670,135,Stryker,"$1,723,487",1983,"$1,723,487",100%,-,-
671,136,Get Crazy,"$1,645,711",1983,"$1,645,711",100%,-,-
672,137,Lianna,"$1,530,839",1983,"$1,530,839",100%,-,-
673,138,Strange Invaders,"$1,362,303",1983,"$1,362,303",100%,-,-
674,139,Losin' It,"$1,246,141",1983,"$1,246,141",100%,-,-
675,140,The Lonely Lady,"$1,223,200",1983,"$1,223,200",100%,-,-
676,141,Possession,"$1,113,538",1983,"$1,113,538",100%,-,-
677,142,"Say Amen, Somebody","$1,108,299",1983,"$1,108,299",100%,-,-
678,143,Of Unknown Origin,"$1,080,470",1983,"$1,080,470",100%,-,-
679,144,Getting It On,"$975,414",1983,"$975,414",100%,-,-
680,145,Rocky III 1983 Re-release,"$902,228",1983,"$902,228",100%,-,-
